id,marca,modelo,tipo,almacenamiento,RAM,color,stock,precioOriginal,precioReacondicionado,garantiaMeses
101,Apple,iPhone 12,Smartphone,128GB,4GB,Negro,5,799,549,12
102,Samsung,Galaxy S21,Smartphone,256GB,8GB,Plata,3,849,579,12
103,Lenovo,ThinkPad L14,Portatil,512GB,16GB,Negro,2,1099,799,18
104,Apple,MacBook Air M1,Portatil,256GB,8GB,Gris,4,1129,899,12
105,Xiaomi,Redmi Note 11,Smartphone,128GB,4GB,Azul,10,249,159,6
106,Dell,Inspiron 15,Portatil,1TB,8GB,Negro,6,899,629,12
107,HP,Pavilion x360,Portatil,512GB,8GB,Plateado,3,799,549,12
108,Samsung,Galaxy Tab S7,Tablet,128GB,6GB,Negro,7,699,479,12
109,Apple,iPad Air 4,Tablet,64GB,4GB,Rosa,5,649,489,12
110,Amazon,Kindle Paperwhite,Lector,8GB,1GB,Negro,12,149,99,6
111,Microsoft,Surface Pro 7,Tablet,256GB,8GB,Plata,2,999,729,12
112,Asus,ROG Phone 5,Smartphone,256GB,12GB,Negro,3,999,699,12
